Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Malahide, Tp",By-law Number 21-63The Corporation of the Township of Malahide,Yes,"See Section 3.83.8. Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (c) Non-residential farm buildings constructed for bona fide farm uses;",2021-11-02,2026-11-02,https://www.malahide.ca/en/municipal-office/resources/Bylaws--Policies/2021-Malahide-DC-By-law---3-year-phase-in-no-water.pdf,,,,,,,,,,,,,BY-LAW No. 05-71,No,,No,,No,Yes,No,,NOT KNOWN,2005-12-15,,https://laserfiche.malahide.ca/WebLink/DocView.aspx?dbid=0&amp;repo=Malahide&amp;id=15496,,No,,,,,,,,,Other,,2019-02-21,,,NO,,NO,,,NO,
"Manitouwadge, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2019-17,No,,No,,No,Yes,Yes,No,6,2019-08-14,,https://manitouwadge.civicweb.net/filepro/documents/search/?keywords=animal&amp;location=108&amp;preview=6976,BY-LAW NO. 2019-17,Yes,6,2014-08-14,,No,,2;3;4;5;6;9,https://manitouwadge.civicweb.net/filepro/document/6976/Animal-Control-Part-1-By-law-2019-17-2.pdf,,,,,,,NO,,NO,,,NO,
"Mapleton, Tp",BY-LAW NUMBER 2024-033,Yes,"3.10 Other Exemptions:Notwithstanding the provision of this By-law, development charges shall not be imposed with resepct to:(b) A bona fide farm use;where ""bona fide farm use"" means the proposed development that will qualify as a farm business operating with a valid Farm Business Registration Number issued by the Onatrio Ministry of Agriculture, Food and Rural Affairs and be assessed in the Farmland Realty Tax Class by the Ontario Property Assessment Corporation.",2024-06-11,,https://mapleton.ca/content/2024-033-development-charges.pdf,,,,,,,,,,,,,BY-LAW NUMBER 2019-034,No,,No,,No,No,Yes,No,NOT KNOWN,2019-04-09,,https://mapleton.ca/content/township-services/2019-034-dog-by-law-canine.pdf,,,,,,,,,,,,,,,,YES,YES,NO,,,NO,https://mapleton.ca/content/township-services/departments/by-laws/by-law-2024-021-regulate-fences-1.pdf
"Marathon, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 1788,No,,No,,No,Yes,Yes,No,NOT KNOWN,2013-04-08,,https://www.marathon.ca/en/town-hall/resources/Documents/1788-regulate-govern-animals-1.pdf,BY-LAW NO. 1788,No,,2013-04-08,,,,2;3;4;5;6;9,https://www.marathon.ca/en/town-hall/resources/Documents/1788-regulate-govern-animals-1.pdf,,,,,,,YES,YES,NO,YES,YES,NO,https://www.marathon.ca/media/adpnwzkn/1975fencing.pdf
"Markham, C",By-law 2022-49,Yes,"3. APPLICABLE LANDS(4) This by-law shall not apply to land or Buildings within the Municipality that are used for the purposes of:(d) Agricultural Uses;where ""Agricultural Uses"" means land or buildings, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation.",2022-05-31,2027-05-31,https://www.markham.ca/wps/wcm/connect/markham/7ed08a23-ba5b-42a9-a66c-43d62fd6ce50/2022-49.pdf?MOD=AJPERES&amp;CONVERT_TO=url&amp;CACHEID=ROOTWORKSPACE.Z18_2QD4H901OGV160QC8BLCRJ1001-7ed08a23-ba5b-42a9-a66c-43d62fd6ce50-o6mTyzI,BY-LAW 2019-100,No,"Annual Non-residential property:$30 per $100,000 of Current Value Assessment (CVA). *Any property with a total CVA less than $100,000 is exempt and shall not have a Stormwater Fee*",2019-09-24,,https://pub-markham.escribemeetings.com/filestream.ashx?DocumentId=18432,BY-LAW 2011-232,No,,2021-02-09,,https://www.markham.ca/wps/wcm/connect/markham/2237fac4-5f60-4aeb-b556-ee4bc1f44e2e/2011-232-Consolidated.pdf?MOD=AJPERES&amp;CONVERT_TO=url&amp;CACHEID=ROOTWORKSPACE.Z18_2QD4H901OGV160QC8BLCRJ1001-2237fac4-5f60-4aeb-b556-ee4bc1f44e2e-nx0MLBj,By-law 2018-91,No,,No,,No,Yes,Yes,No,No,2018-06-26,,https://www.markham.ca/wps/wcm/connect/markham/a7e41491-5ecc-4e87-8306-cd8d2cad4259/2018-91+-+Consoildated.pdf?MOD=AJPERES&amp;CONVERT_TO=url&amp;CACHEID=ROOTWORKSPACE.Z18_2QD4H901OGV160QC8BLCRJ1001-a7e41491-5ecc-4e87-8306-cd8d2cad4259-o8RQpCb,BY-LAW 2018-91,No,No person shall keep livestock in any area of the City unless the area is zoned for that purpose,2018-06-26,,,,2;3;4;5;6,https://www.markham.ca/wps/wcm/connect/markham/a7e41491-5ecc-4e87-8306-cd8d2cad4259/Bylaw-2018-91.pdf?MOD=AJPERES&amp;CONVERT_TO=url&amp;CACHEID=ROOTWORKSPACE.Z18_2QD4H901OGV160QC8BLCRJ1001-a7e41491-5ecc-4e87-8306-cd8d2cad4259-mDAse.v,BY-LAW 2023-164,No,,2023-12-13,,https://www.markham.ca/wps/wcm/connect/markham/e44bce95-ebd6-400d-9d1e-930b17591c4d/By-law+2023-164+Tree+Preservation.pdf?MOD=AJPERES&amp;CONVERT_TO=url&amp;CACHEID=ROOTWORKSPACE.Z18_2QD4H901OGV160QC8BLCRJ1001-e44bce95-ebd6-400d-9d1e-930b17591c4d-oSeHRC8,YES,NO,NO,YES,YES,YES,https://www.markham.ca/sites/default/files/economic-development-business/zone-and-devlopment/Bylaw-277-97.pdf
"Markstay-Warren, M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,NO,
"Marmora and Lake, M",,,,,,,,,,,,,BY-LAW NUMBER 2003-22,Yes,,2004-01-06,,https://acrobat.adobe.com/id/urn:aaid:sc:US:2259cfed-21ca-487f-987d-20fa9554ce50,BY-LAW NUMBER 2023-30,No,,No,,Yes,No,No,,NOT KNOWN,2023-06-06,,https://drive.google.com/file/d/1R6qOFgacO39__1cB-ASBFAKXwxU9l8Tq/view,,No,,,,,,,https://www.change.org/p/municipality-of-marmora-and-lake-allow-rural-residential-home-owners-the-right-to-raise-backyard-chickens,,,,,,,YES,NO,NO,NO,NO,NO,
"Matachewan, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2013-15,No,,No,,No,Yes,Yes,No,,2013-06-17,,https://www.matachewan.com/wp-content/uploads/2023/11/By-law-No.-2013-15.pdf,,,,,,,,,,,,,,,,NO,,NO,,,NO,
"Mattawa, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 08-21,No,,No,,No,Yes,Yes,No,none,2008-08-25,,https://mattawa.ca/uploads/docs/by-laws/Keeping%20of%20Dogs%20By-law%2008-21.pdf,Regulate Animals,Yes,Other,2017-05-23,,No,Yes,NOT KNOWN,https://mattawa.ca/wp-content/uploads/2017/05/By-Law-17-17-Regulate-Animals-1.pdf,,,,,,,YES,YES,NO,,,NO,https://www.mattawa.ca/uploads/documents/by-laws/BY-LAW-17-15%20Fence%20By-Law.pdf
"Mattawan, M",,,,,,https://www.ontario.ca/laws/statute/97d27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,,NO,
"Mattice-Val CÃ´tÃ©, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 967,No,,No,,No,Yes,No,,none,2023-11-01,,https://www.matticevalcote.ca/_files/ugd/93a5a9_4b94cb3f1b094c9da306dd06ad6d4c4a.pdf,,,,,,,,,,,,,,,,NO,,NO,,,NO,
"McDougall, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2013-33,No,,Yes,a dog used for herding of farm fowl or animals and is actively participating in herding.,No,Yes,Yes,No,NOT KNOWN,2013-05-15,,https://mcdougall2022.municipalwebsites.ca/Editor/images/By-laws/Dog%20Licensing%20By-law.pdf,By-law No. 2021-27,Yes,6 if lot is 0.18 hectares to 0.4 hectares10 if lot is greater than 0.4 hectares,2021-07-14,,No,Yes,2;3;4,https://mcdougall2022.municipalwebsites.ca/Editor/images/By-laws/2021-27%20regulate%20the%20keeping%20of%20hens%20in%20the%20RR%20Zone.pdf,,,,,,,YES,YES,NO,YES,YES,YES,https://mcdougall2022.municipalwebsites.ca/Editor/images/By-laws/Fence%20Control%20By-law.pdf
"McGarry, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2021-13,No,,No,,No,Yes,Yes,No,NOT KNOWN,2021-01-12,,https://www.mcgarry.ca/Bylaws/By-Laws-2021/By-Law-2021-13.pdf,Animal Control By-law,No,,,,,,,https://www.mcgarry.ca/en/town-hall/animal-control-by-law-2021-13.aspx,,,,,,,YES,NO,NO,NO,NO,NO,https://www.mcgarry.ca/Bylaws/By-Law-1994/By-Law-1994-16.pdf
"McKellar, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW NO. 2019-12,No,,2019-02-04,,https://www.mckellar.ca/en/township-services/resources/By-law-2019-12-Tree-Canopy-Policy.pdf,NO,,NO,,,NO,
"McMurrich/Monteith, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 07-2023,No,,No,,No,Yes,No,,6 (Rural Zones)3 otherwise,2023-03-07,,https://irp.cdn-website.com/af131183/files/uploaded/DOC033123-03312023132315.pdfhttps://irp.cdn-website.com/af131183/files/uploaded/DOC033123-03312023132315.pdf,,,,,,,,,,,,,,,,NO,,NO,,,NO,
"McNab-Braeside, Tp",BY-LAW NUMBER-2019-42,No,,2019-06-27,2024-06-27,https://www.mcnabbraeside.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjQ4IjtzOjM6ImtleSI7aToyMzt9,,,,,,,,,,,,,BY-LAW NO. 2018-25,No,,No,,No,Yes,Yes,No,none,2018-06-05,,https://www.mcnabbraeside.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjQ4IjtzOjM6ImtleSI7aToyO30=,BY-LAW NO. 2015-06,Yes,6 on residential,2015-12-01,,Yes,Yes,NOT KNOWN,https://www.mcnabbraeside.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjQ4IjtzOjM6ImtleSI7aToxOTt9,,,,,,,NO,,NO,,,NO,
"Meaford, M",By-law Number 2024-48,Yes,"13.0 Categories of Exempt Uses13.1 The following categories of uses are hereby designated as being exempt from the payment of development charges.e) agricultural use, where “Agricultural Use” means lands, buildings, or structures, excluding any portion thereof used as a dwelling unit, used, designed or intended to be used for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, bee keeping, dairying, fallow, field crops, fish farming, forestry, fruit farming, horticulture, livestock, market gardening, pasturage, poultry keeping, the growing, raising, packing, treating, storing, and sale of produce produced on the premises, temporary farm help accommodation and other activities customarily carried on in the field of agriculture.",2024-10-07,,https://www.meaford.ca/en/business-development/resources/Development-Charges/By-law-2024-48---to-Establish-Development-Charges-for-the-Municipality-of-Meaford.pdf,,,,,,,BY?LAW NUMBER 058 ? 2010,No,,2010-06-21,,https://www.meaford.ca/en/living-here/resources/Documents/Building---058-2010-Grading-By-law.pdf,BY-LAW NUMBER 078-2013,Other,"""Working Dog"" shall mean a dog trained, kept and utilized for work purposes including, but not limited to, livestock handling and/or guarding, pest and predator control, recreation dog sled use and police or rescue dogs;",No,,No,Yes,No,,NOT KNOWN,2013-10-28,,https://www.meaford.ca/en/our-government/resources/Documents/By-Laws/78-2013-Control-Dogs-and-Govern-the-Care-of-Animals.pdf,By-law 77-2014Backyard Poultry By-law,Yes,"NOT SPECIFIED, but many requirements per chicken (specified in BC By-law)",,,No,Yes,2;3;4;5;6;7;9;11,https://www.meaford.ca/en/living-here/backyard-chickens.aspx,BY-LAW NUMBER 100 – 2012,Yes,3. EXEMPTIONS (n) the destruction of trees occurring as an integral component of an active farm operation.,,,https://www.meaford.ca/en/our-government/resources/Documents/By-Laws/100-2012---Tree-Cutting.pdf,NO,,NO,,,NO,
"Melancthon, Tp",By-law Number 37-2019,Yes,"Other Exemptions:3.9.2 Notwithstanding the provisions of this By-law, development charges shall not be imposed on ""an agricultural use"", including barns, silos, or other storage facilities for produce, livestock, or machinery and equipment used in connection with an existing agricultural operation, and other ancillary development to an agricultural use, but excluding a ""residential dwelling"", an ""on-farm diversisied use"" or a ""cannabis production facility"".",2024-07-18,2034-07-18,https://melancthontownship.ca/wp-content/uploads/2024/07/Development-Charges-By-law-30-2024.pdf,,,,,,,BY-LAW NUMBER 29-2004,No,,2004-06-03,,https://melancthontownship.ca/wp-content/uploads/2017/03/site-alteration.pdf,BY-LAW NO. 17-2003,No,,No,,No,Yes,Yes,No,NOT KNOWN,2003-06-05,,https://melancthontownship.ca/wp-content/uploads/2017/03/canine.pdf,,,,,,,,,,,,,,,,YES,NO,NO,NO,NO,NO,
"Merrickville-Wolford, Tp",,,,,,,,,,,,,,,,,,,BY-LAW No. 22 - 00,No,,No,,No,Yes,Yes,No,"5.1 No person or persons may keep, board or breed more than:- a) in the Merrickville Ward 3 dogsb) in the Wolford Ward 4 dogs",2000-08-21,,https://www.merrickville-wolford.ca/media/k2/attachments/file_4eef84a424feb_www.merrickville-wolford.ca_0022DOG_3.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Middlesex Centre, M",BY-LAW 2024-064,No,,2024-07-10,,https://www.middlesexcentre.ca/sites/default/files/2024-07/2024-064%20Development%20Charges.pdf,BY-LAW NUMBER 2023-120,No,$16.55 per property + $46.91/ha,2024-01-01,,https://www.middlesexcentre.on.ca/sites/default/files/2023-12/2023-120%202024%20Stormwater%20Rates.pdf,BY-LAW NUMBER 2016-087,No,,2016-08-24,,https://www.middlesexcentre.on.ca/sites/default/files/2019-10/2016-087%20Site%20Alteration%20By-law.pdf,BY-LAW NUMBER 2012-030Animal Control By-Law (Ammended 2017),No,,No,,No,Yes,NOT KNOWN,NOT KNOWN,"See SECTION 13 - LIMITATIONSNo person or persons shall keep more than three (3) dogs in or about any dwelling unit in the municipality, except that any person who, on the first day of January 1998, was keeping more than three (3) dogs that had been previously licensed by The Corporation of the Township of Delaware, Township of Lobo, or Township of London, may keep those dogs until they have died or otherwise disposed of.",2012-03-21,,https://www.middlesexcentre.on.ca/sites/default/files/2019-12/2012-030%20Animal%20Control%20By-Law%20with%20amending%202017-014%202019-111.pdf,,No,,,,,,,https://www.middlesexcentre.ca/services/residents/animal-services,THE CORPORATION OF THE COUNTY OF MIDDLESEXWOODLANDS CONSERVATION BY-LAW  5738,Other,,,,https://www.middlesex.ca/sites/default/files/Woodlands_Bylaw.pdf,YES,NO,YES,YES,YES,YES,https://middlesexcentre.on.ca/sites/default/files/2019-10/2016-078%20Fencing.pdf
"Middlesex, Co",BY-LAW 7291,Yes,"Other Exemptions/Reductions Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to:  non-residential agricultural use buildings shall be exempt from the development charge;",2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BY-LAW 7314,No,,2025-01-14,,https://www.middlesex.ca/sites/default/files/documents/7314%20-%20Woodland%20Conservation%20By-Law%20-%20Website.pdf,NO,,,,,,
"Midland, Tp",BY-LAW 2025-21,No,,2025-03-19,,https://www.midland.ca/en/business-development/resources/Development-Charges/By-law-2025-21-2025-Development-Charges-Midland.pdf,,,,,,,,,,,,,BY-LAW NO. 2009-18,No,,No,,No,Yes,Yes,No,No,2009-03-23,,https://www.midland.ca/en/living-in-midland/By-laws-Resource-Folder/By-law-PDFs/By-law-2009-18-Animal-Control-Dogs.pdf,,No,,,,,,,https://www.midland.ca/en/living-in-midland/By-laws-Resource-Folder/By-law-PDFs/By-law-2013-79-Animal-Control.pdf,,,,,,,NO,,,,,,
"Milton, Tp",BY-LAW NO. 044-2021,Yes,"OTHER EXEMPTIONS/REDUCTIONS:21. Notwithstanding the provision of this By-law, development charges shall not be imposed with respect to: f) agricultural development, including a one-time exemption of up to 50 square metres (538.2 square feet) on any commercial or retail component therein; where ""agricultural development"" means a bona fide farming operation, including greenhouses used in connection with a bona fide farming operation which are not connected to Regional water services or wastewater services, sod farms and farms for the breeding and boarding of horses, and includes, but is not limited to, barns, silos and other ancillary buildings to such agricultural development, but excluding in all circumstances any residential or commercial or retail component thereof and excludes Cannabis Production Facilities;",2021-06-26,2026-06-26,https://www.milton.ca/en/business-and-development/resources/development-documents/Development-Charge-Documents/DevelopmentChargeByLaw_Parking-Only.pdf,,,,,,,BY-LAW NO. 094-2022,Yes,3. Exemptions3.5. A permit is not required on any lot zoned for agricultural use within the Rural Area of the Town,2022-09-12,,https://www.milton.ca/en/business-and-development/resources/094-2022-Prohibit-and-Regulate-Fill-or-Altering-of-Grades-or-Drainage-on-any-Lands.pdf,BY-LAW 90-2004,Other,"“domestic farm animal” shall mean an animal kept by a person for animal husbandry, or for its pelt, wool or fur or for food or research purposes, and includes, but is not limited to, domesticated ungulates of the families Artiodactylus, and Perissodactylus, Anseriformes, Galliformes, Gallus Gallus, and Ratite Birds as outlined in Schedule “B” to this By-law.",No,,No,Yes,No,,8any combination of eight (8) dogs or cats in a Rural Area,2004-10-25,,https://www.milton.ca/en/town-hall/resources/Accessible_Bylaws/090-2004-Animal-Control--Consolidated.pdf,,No,,,,,,,https://www.milton.ca/en/town-hall/resources/Accessible_Bylaws/090-2004-Animal-Control--Consolidated.pdf,,,,,,,YES,NO,NO,YES,YES,YES,https://www.milton.ca/en/town-hall/resources/By-laws/97-2005.pdf
"Minden Hills, Tp",,,,,,,,,,,,,,,,,,,,No,,No,,No,,Yes,No,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Minto, Tp",By-law 2021-26,No,,2021-04-07,2025-03-01,https://minto.nyc3.cdn.digitaloceanspaces.com/Minto-DC-Brochure-2024.pdf,,,,,,,By-law No. 2020-16,No,,2020-03-03,,https://minto.nyc3.cdn.digitaloceanspaces.com/By-Laws/Site-Alteration-By-Law.pdf,By-Law 2019-39,No,,No,,No,Yes,Yes,No,NOT KNOWN,2019-04-16,,https://minto.nyc3.cdn.digitaloceanspaces.com/By-Laws/Animal-By-Laws/Dog-Licensing-By-Law-2019-39.pdf,By-Law 2020-73Exotic Animal,No,,,,,,,https://minto.nyc3.cdn.digitaloceanspaces.com/By-Laws/Animal-By-Laws/Exotic-Animal-By-Law-2020-73.pdf,,,,,,,YES,YES,NO,YES,,NO,
"Mississauga, C",By-law 0133-2022,No,,2022-06-22,2027-06-22,https://www.mississauga.ca/wp-content/uploads/2020/07/27173434/Development-Charges-By-law-0133-2022.pdf,BY-LAW 0251-2020,Yes,"SUBSIDIES13. (3) Working Farm; “Working Farm” means the portion of a property that is subject to the Farm Property Class Tax Rate, as assessed by the Municipal Property Assessment Corporation (MPAC).",2024-04-01,2025-03-31,https://www.mississauga.ca/wp-content/uploads/2023/12/Schedule-B-4-Stormwater-Fees-and-Charges-Effective-April-1-2024-to-March-31-2025.pdf,By-law 0512-1991Erosion and Sediment Control,No,,1991-10-21,,https://www.mississauga.ca/wp-content/uploads/2020/07/10122128/Erosion-and-Sediment-Control-By-law-0512-1991.pdf,BY-LAW 0098-2004,No,,No,,No,Yes,No,,"none4 otherwise, e) the keeping of animals on lands zoned and used for agricultural purposes;",2004-03-10,,https://www.mississauga.ca/wp-content/uploads/2023/11/Animal-Care-and-Control-By-law-0098-2004.pdf,BY-LAW 0098-2004,Other,,2004-03-10,,,,2;3;4;7;9,https://www.mississauga.ca/wp-content/uploads/2023/11/Animal-Care-and-Control-By-law-0098-2004.pdf,By-law 0021-2022,No,,2022-02-02,,https://www.mississauga.ca/wp-content/uploads/2018/09/30121717/Private-Tree-Protection-By-law-0021-2022.pdf,YES,YES,YES,NO,YES,YES,https://www.mississauga.ca/wp-content/uploads/2022/04/FENCE-BY-LAW-0397-1978-consolidation.pdf
"Mississippi Mills, M",BY-LAW NO. 23-081,Yes,"Other Exemptions3.13 Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (c) Non-residential farm building used for a bona fide agricultural use,where “Farm building” means that part of a farming operation encompassing barns, silos, and other accessory use to a bona fide agricultural use or “value add” buildings of a commercial or retail nature for the farming operation or farm help quarters for the farming operation workers but excluding a Residential use;",2023-12-05,2033-12-05,https://www.mississippimills.ca/en/build-and-invest/resources/Documents/Building/2023-Development-Charges-By-laws-23-081-to-23-088.pdf,,,,,,,,,,,,,BY-LAW NO. 14-21,Yes,"A dog that is specifically trained to work and/or live with domestic farm animals (i.e. cattle, sheep, goats etc) without causing them harm while aggressively repelling predators and is used exclusively for that purpose. In order to qualify the dog owner must hold a valid farm registration number registered with the Municipality.",No,,No,Yes,Yes,No,"(a) No person or household within the Ward of Almonte and the Hamlets of Blakeney, Appleton, Clayton, and Pakenham and registered plans of subdivision shall keep more than three (3) dogs. (b) No person or household located outside of the Ward of Almonte and the Hamlets of Blakeney, Appleton, Clayton and Pakenham and registered plans of subdivision shall keep more than six (6) dogs",2014-05-06,,https://www.mississippimills.ca/en/municipal-hall/resources/Documents/By-laws/Bylaw-14-21-Animal-Control-consolidated.pdf,BY-LAW NO. 14-21Animal Control By-law,No,,,,,,,https://www.mississippimills.ca/en/municipal-hall/resources/Documents/By-laws/Bylaw-14-21-Animal-Control-consolidated.pdf,,,,,,,NO,,,,,,
"Mono, Tp",BY.LAW NUMBER 2024.28,Yes,"3.9 Other Exemptions:1) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to:(i) Non-residential farm buildings constructed for bona fide farm uses,where “farm building” means a building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or structures ancillary to that farming operation, including greenhouses, but excludes:(a) a residential use, with the exception of a bunk house for seasonal farm workers required for that farm operation; and(b) any building or portion thereof used or intended to be used for any other Non-Residential Use, including, but not limited to: retail sales; commercial services; restaurants; banquet facilities; hospitality and accommodation facilities; gift shops; contractors’ shops; services related to grooming, boarding, or breeding of household pets; and alcohol and marijuana production facilities.",2024-07-16,2034-07-16,https://mono.civicweb.net/document/202199/,,,,,,,BYLAW NUMBER 2014 - 31,No,"6. Requests for Variance or Exception 6.6 Upon reviewing a request under Section 6.2, Council shall consider whether the requested Variance or Exception: a) will result in maintaining or improving the overall agricultural capability of the Site;",2014-08-27,,https://mono.civicweb.net/document/26719/,BY-LAW NUMBER NO. 2002-62amended up to 2019,No,,No,,No,Yes,Yes,No,NOT KNOWN,2019-05-14,,https://mono.civicweb.net/document/34102/,BYLAW NUMBER 82-26Prohibit &amp; Regulate Animals By-law,No,,,,,,,https://mono.civicweb.net/document/69873/,BY-LAW NUMBER 2014-47,No,3. EXEMPTIONS (k) Normal Farm Practices carried on as part of an agricultural operation outside the Settlement Area.,2014-11-25,,https://mono.civicweb.net/document/27386/,YES,YES,NO,NO,YES,YES,https://mono.civicweb.net/document/8933
"Montague, Tp",BY-LAW NO. 3893-2022,No,,2022-03-15,2027-03-15,https://acrobat.adobe.com/id/urn:aaid:sc:US:d3c3fb30-5f23-4f3f-bbc0-b5ae2a5f20e2,,,,,,,,,,,,,BY-LAW NUMBER 4004-2023,No,,No,,No,Yes,Yes,Yes,NOT KNOWN,2023-08-01,,https://www.montaguetownship.ca/images/4004-2023_-_Animal_Control_By-Law.pdf,Animal Control By-law,No,,,,,,,https://www.montaguetownship.ca/images/4004-2023_-_Animal_Control_By-Law.pdf,,,,,,,YES,YES,NO,YES,NO,NO,https://www.montaguetownship.ca/en/resources/Fence-By-law-1197-80.pdf
"Moonbeam, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 16-18,No,,No,,No,Yes,Yes,No,,2018-07-10,,https://moonbeam.civicweb.net/filepro/documents/search/search?keywords=dog&amp;page=1&amp;location=3572&amp;preview=10330,Animal Control By-law,No,,,,,,,https://moonbeam.civicweb.net/filepro/document/10330/by-law%2016-18%20Animal%20Control%20By-law.pdf,,,,,,,NO,,,,,,
"Moosonee, Tp",,,,,,,,,,,,,,,,,,,BY-LAW No. 05-16,No,,No,,No,Yes,Yes,No,NOT KNOWN,2016-01-26,,https://www.moosonee.ca/wp-content/uploads/2018/11/05-16-Animal-Control.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Morley, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Morris-Turnberry, M",,No,No explicit exemption mentioned,2021-11-16,2026-01-01,https://morristurnberry.ca/content/government/bylaws/59-2021-fees-and-charges.pdf,,,,,,,,,,,,,BY-LAW NO. 109-2019,Yes,"a dog that works and/or lives with domestic farm animals or livestock (e.g. cattle, sheep, poultry) to protect them while repelling predators and is used exclusivley for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,No,none4.3.5. the dogs are LGDs and or herding dogs.,2019-12-17,,https://morristurnberry.ca/content/government/bylaws/animal-control-by-law-8.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Mulmur, Tp",By-law No. 22 - 2024,Yes,"8. EXEMPT BUILDINGS 8.1 Non-residential buildings used accessory to an agricultural operation shall be exempt from the development charge,",2024-07-03,2034-07-03,https://mulmur.ca/content/town-hall/bylaws/development-charges-by-law-no.-22-2024.pdf,,,,,,,BY-LAW NO. 4–15,No,,2015-02-04,,https://mulmur.ca/content/town-hall/bylaws/fill-by-law-4-2015-consolidated-1.pdf,BY-LAW NO. 53.19,No,,No,,No,Yes,Yes,No,NOT KNOWN,2019-11-06,,https://mulmur.ca/content/town-hall/bylaws/animal-care-and-control-by-law-53-2019.pdf,BY-LAW NO. 19 – 18Backyard Chicken By-law,Yes,,2018-06-06,,No,No,2;3;4;5,https://mulmur.ca/content/town-hall/bylaws/backyard-chickens-by-law-19-2018.pdf,BY-LAW NO. 47-2019,Yes,"3. EXCEPTIONSsiii. Normal Farm Practices in accordance with the Farm Practices Protection Act, R.S.O. 1990, c. F.6, as amended, carried on as part of an agricultural operation, including minor squaring-up of fields to a maximum of 2ha of treed area;",2019-10-02,,https://mulmur.ca/content/town-hall/bylaws/tree-by-law-47-2019.pdf,YES,YES,NO,YES,YES,NO,https://mulmur.ca/wp-content/uploads/2021/05/By-law-46-2019-Fence.pdf
