Municipality,County,Tier,Region,DB Status,DB Bylaw Name,DB Date Enacted,DB Has LGD Def,Audit Result,Link Status,Bylaw Name Match,LGD Keywords Found,Snippet,Source URL,Website Bylaw Links Found,Notes
Gravenhurst,Muskoka,Lower Tier,Northern,COMPLETE,BY-LAW NO. 2018-26,2018-03-20,Yes,OUTDATED,200 OK,YES (exact),livestock guardian; guardian dog; working dog,"... than 1. 9 meters (6 feet)
in length which is designed to be held by a person and is used or designed to be used to
restrain a dog.
License"" means a license and dog tag issued pursuant to this By-law.


 ---> LIVESTOCK GUARDIAN <--- 

 Dog"" means a dog that is specifically trained to work and live with
domestic farm animals (i.e. cattle, sheep) without causing them harm while aggressively
repelling predators and is used exclusively ...",https://gravenhurst.civicweb.net/document/34965/,,"Newer bylaw detected: 87-183, 93-104, 94-21, 95-31, 98-121, 2000-08, 2002-120 and 2010-
25 are hereby repealed.
READ A FIRST, SECOND AND THIRD TIME and finally passed this20th day of
March,"
Greater Napanee,Lennox and Addington,Lower Tier,Eastern,NO BY-LAW IN PLACE,By-law No. 2024-0055,2024-09-24,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),working dog,"... e utilized, provided it is
limited to a maximum of 1.8 metres (6 feet) in length when approaching or in the
presence of another Dog or Person.
3.26 Sections 3.22 – 3.25 shall not apply to:
(a) police 

 ---> WORKING DOG <--- 

s while they are in the course of fulfilling their duties; and
(b) hunting Dogs that are under the direct supervision of a Person who is a
bona fide hunter actively engaged in hunting in accordance wi ...","https://www.greaternapanee.com/media/g2lpd1p0/by-law-no-2024-0055-provide-for-the-licensing-registration-and-regulation-of-the-keeping-and-controlling-of-dogs.pdf#:~:text=,be%20utilized%2C%20provided%20it",,LGD keywords found in bylaw: working dog
Huron East,Huron,Lower Tier,Western,NO BY-LAW IN PLACE,By-law No. 077 of 2022,2022-10-18,Yes,NEEDS REVIEW,HTTP 404,,,,https://www.huroneast.com/en/my-huron-east/resources/Animal-Control/22-077---Animal-Control---Signed.pdf,Animal Services (http://www.huroneast.com/living-here/animal-services/); Dog Licences (http://www.huroneast.com/living-here/animal-services/dog-licences/),Had a bylaw link but it's now broken — may have been replaced
Huntsville,Muskoka,Lower Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2021-7,2021-01-25,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://huntsvilleon.civicweb.net/filepro/documents/16329/?preview=16351,,Has animal control bylaw but no LGD-specific provisions found
Howick,Huron,Lower Tier,Western,NO BY-LAW IN PLACE,By-law No. 52-2022,,Yes,NEEDS REVIEW,HTTP 404,,,,https://howick.ca/content/government/52-2022-canine-control-signed-n-certified.pdf,Animal Services (https://www.howick.ca/township-services/animal-services); Canine Control (https://www.howick.ca/township-services/animal-services/canine-control); Exotic Animals (https://www.howick.ca/township-services/animal-services/exotic-animals),Had a bylaw link but it's now broken — may have been replaced
Halton Hills,Halton,Lower Tier,Central,COMPLETE - FARM FRIENDLY,BY-LAW NO. 94-077 – CONSOLIDATED,1994-06-13,Yes,OUTDATED,200 OK,YES (exact),livestock guardian; herding dog; guardian animal,"... nimal Pedigrees Act (Canada) are kept,
bred, and raised.
m) License shall mean a receipt and tag issued by the Corporation of
the Town of Halton Hills upon payment of the appropriate license
fees.
n) 

 ---> LIVESTOCK GUARDIAN <--- 

 Animal shall mean an animal that works and/or
Amended
lives with domestic farm animals (eg. Cattle, sheep, poultry) to
by By‐law
2022‐0056 protect them while repelling predators and is used exclusive ...",https://haltonhills.ic12.esolg.ca/en/your-government/By-Laws/BY-LAW%20NO.%201994-077.pdf,,"Newer bylaw detected: ertaining to an order issued
by By‐law
2010‐0103 under this By-law.
Amended z) (Repealed by By-law 2010-0103)
by By‐law
2010‐0103
aa) (Repealed by By-law 2010-0103)
bb)"
Johnson,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Ingersoll,Oxford,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 01-3989,2001-10-09,No,NEEDS REVIEW,HTTP 404,,,,https://www.ingersoll.ca/en/town-hall/resources/By-Laws/3989-01.pdf,Animal Services (http://www.ingersoll.ca/town-hall/animal-services/),Had a bylaw link but it's now broken — may have been replaced
James,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Hanover,Grey,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 2819-13,2013-08-12,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.hanover.ca/media/369,,Has animal control bylaw but no LGD-specific provisions found
Iroquois Falls,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,BY.LAW NO. 3464117,2017-10-30,No,NO LGD PROVISIONS,200 OK,NO,,,https://iroquoisfalls.civicweb.net/filepro/documents/search/?keywords=animals&location=108&preview=7430,Animal Control Services (https://www.iroquoisfalls.com/living-here/animal-control-services/),Has animal control bylaw but no LGD-specific provisions found
Jocelyn,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Guelph-Eramosa,Wellington,Lower Tier,Western,COMPLETE,"By-law Number 80/2016
Dog by-Law",2016-12-05,No,OUTDATED,200 OK,YES (number_match),,,https://www.get.on.ca/uploads/userfiles/files/By-laws/Consolidations/080-2016%20Dog%20Control%20By-law%20(Consolidated%2008_09_2021).pdf,Animal Services (http://www.get.on.ca/township-services/animal-services),"Newer bylaw detected: HEREAS By-law No. 76/2003, By-law No. 35/2010 and By-law No.
19/2011 are hereby repealed;
NOW THEREFORE the Council of the Corporation of the Township of
Guelph/Eramosa"
Ignace,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,By-law 38-2021,2021-06-21,No,NO LGD PROVISIONS,200 OK,NO,,,https://ignace.civicweb.net/filepro/documents/?preview=10138,Animal Services (http://town.ignace.on.ca/residents/services/animal-services),Has animal control bylaw but no LGD-specific provisions found
Ear Falls,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2337-21,2021-02-16,No,NO LGD PROVISIONS,200 OK,,,,https://ear-falls.com/wp-content/uploads/2021/05/By-Law-to-Regulate-and-Control-Animals.pdf,,Has animal control bylaw but no LGD-specific provisions found
Joly,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Kerns,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Elizabethtown-Kitley,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,By-law Number 18-16,2018-03-26,No,NO LGD PROVISIONS,200 OK,NO,,,https://elizabethtownkitley.civicweb.net/filepro/document/18291/18-16%20Kennel%20By-law.pdf,,Has animal control bylaw but no LGD-specific provisions found
Kearney,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,By-law No. 2021-04,2021-01-29,No,NO LGD PROVISIONS,200 OK,,,,https://www.townofkearney.ca/sites/6/files/2024-05/2021-04%20By-law%20to%20Regulate%20Dogs%20in%20Kearney.pdf?s=dog+bylaw,,Has animal control bylaw but no LGD-specific provisions found
"Killaloe, Hagarty and Richards",Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 07-2011,2011-09-06,No,NEEDS REVIEW,HTTP 404,,,,https://www.killaloe-hagarty-richards.ca/files4docs/by%20law%207%202011.pdf,,Had a bylaw link but it's now broken — may have been replaced
Kapuskasing,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 4510,2022-11-14,No,NO LGD PROVISIONS,200 OK,NO,,,https://kapuskasing.civicweb.net/filepro/documents/6506/?preview=65060,"Animal Services (http://www.kapuskasing.ca/home-property-community/animal-services/); Cat and Dog Tags

Every owner shall register their dog and/or cat with the Town of Kapuskasing. (http://www.kapuskasing.ca/home-property-community/animal-services/animal-licence)",Has animal control bylaw but no LGD-specific provisions found
Huron-Kinloss,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,By-law 2017‐116,2019-09-16,No,NO LGD PROVISIONS,200 OK,NO,,,https://www.huronkinloss.com/media/n3bnka0a/2017-116-animal-control-by-law.pdf,Animal Services (https://www.huronkinloss.com/live-here/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Kirkland Lake,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 06-053,2006-10-03,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://kirklandlake.civicweb.net/filepro/documents/13697/?preview=4202,,Has animal control bylaw but no LGD-specific provisions found
Guelph,Wellington,Single Tier,Western,COMPLETE,"By-law Number (2016)-20122 
Animal Control Bylaw",2016-12-19,No,NEEDS REVIEW,200 OK,NO,,,https://guelph.ca/wp-content/uploads/animalcontrolbylaw.pdf,Pets and Wildlife (http://www.guelph.ca/living/pets-and-animals/); Pay for a pet or animal license (http://www.guelph.ca/living/pets-and-animals/animal-licensing/),Link live but bylaw name not found in document — may have been replaced
Kitchener,Waterloo,Lower Tier,Western,COMPLETE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,,No bylaw link stored in database
Kingston,Frontenac,Single Tier,Eastern,COMPLETE,By-Law Number 2021-166,2021-10-05,No,LINK BROKEN,HTTP 404,,,,https://www.cityofkingston.ca/documents/10180/16904/Animals%20Bylaw,Bylaws and Animal Services (https://www.cityofkingston.ca/bylaws-and-animal-services/); Pet Licences (http://www.cityofkingston.ca/bylaws-and-animal-services/animal-and-pet-services/),HTTP HTTP 404 — link may be dead
Kingsville,Essex,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW 103 - 2003,2015-06-08,No,NEEDS REVIEW,HTTP 404,,,,https://www.kingsville.ca/en/resourcesGeneral/Documents/103-2003-Dog-Licensing-Amended---accessible.pdf,Animal Services (http://www.town.kingsville.on.ca/resident-services/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Killarney,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,BY LAW NO. 5-2023,2023-08-16,No,NO LGD PROVISIONS,200 OK,,,,https://www.killarney.ca/Home/DownloadDocument?docId=4fb98864-0dd9-474e-bff1-4b78693f49e7,,Has animal control bylaw but no LGD-specific provisions found
Lake of the Woods,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
La Vallee,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Hornepayne,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,By-Law No. 2001,2023-05-17,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.townshipofhornepayne.ca/media/yp4kvdln/2001-animal.pdf,Animal Control (http://www.townshipofhornepayne.ca/living-here/animal-control/),Has animal control bylaw but no LGD-specific provisions found
Havelock-Belmont-Methuen,Peterborough,Lower Tier,Central,NO BY-LAW IN PLACE,By-law No. 2021 - 043,2021-07-06,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.hbmtwp.ca/media/q14phzhm/2021-043-animal-control-by-law-signed.pdf,Animal Control (http://www.hbmtwp.ca/living-here/animal-control/),Has animal control bylaw but no LGD-specific provisions found
LaSalle,Essex,Lower Tier,Western,COMPLETE,By-law Number 8705,2022-05-24,No,LINK BROKEN,HTTP 404,,,,https://www.lasalle.ca/en/town-hall/resources/By-Laws/Bylaw-8705---Animal-Control-accessible.pdf,,HTTP HTTP 404 — link may be dead
Lake of Bays,Muskoka,Lower Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2014-134,2014-10-14,No,NEEDS REVIEW,HTTP 404,,,,https://www.lakeofbays.on.ca/en/municipal-services/resources/Documents/By-law-2014-134-Control-and-Licensing-of-Dogs.pdf,,Had a bylaw link but it's now broken — may have been replaced
Lakeshore,Essex,Lower Tier,Western,COMPLETE,By-law 27-2022,2022-04-26,No,LINK BROKEN,HTTP 404,,,,https://www.lakeshore.ca/en/municipal-services/resources/Documents/Legislative-Service/By-law-27-2023-Being-a-By-law-Respecting-Animal-Care-and-Control-in-the-Municipality-of-Lakeshore.pdf,Animal Control (https://www.lakeshore.ca/municipal-services/applications-licences-and-permits/an),HTTP HTTP 404 — link may be dead
Lambton Shores,Lambton,Lower Tier,Western,COMPLETE,BY-LAW NUMBER 37-2009,2013-12-19,No,LINK BROKEN,HTTP 404,,,,https://www.lambtonshores.ca/en/our-government/resources/Documents/By-law-37-2009-Control-of-Dogs.pdf,Animal Control (http://www.lambtonshores.ca/living-here/animal-control/),HTTP HTTP 404 — link may be dead
Laurentian Hills,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Fort Erie,Niagara,Lower Tier,Central,COMPLETE - FARM FRIENDLY,By-law No. 73-2021,2021-05-31,No,OUTDATED,200 OK,YES (exact),,,https://www2.forterie.ca/bylaws/2021-073/$FILE/73-2021%20Animal%20By-law.pdf,Animal Control (http://www.forterie.on.ca/living-in-fort-erie/animal-control/),"Newer bylaw detected: in
accordance with the Town’s Fees and Charges By-law No. 40-09, as amended or
replaced.
(gg) ""livestock” means any domestic or farmed animal, including, but not limit"
Limerick,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Lanark Highlands,Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,https://www.lanarkhighlands.ca/PDF-Flip/index.html,2004-06-22,No,NEEDS REVIEW,NO LINK,,,,,Animal Control (http://www.lanarkhighlands.ca/services-payments/animal-control),No bylaw link in DB but animal-related links found on website
Laird,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,By law Number 924-12,2012-07-18,No,NEEDS REVIEW,HTTP 404,,,,https://www.lairdtownship.ca/documents/bylaws/2012/bylaw92412.html,Dog Control Officer (https://lairdtownship.ca/dog-catcher/),Had a bylaw link but it's now broken — may have been replaced
Innisfil,Simcoe,Lower Tier,Central,COMPLETE,By-Law 069-22,2022-06-22,Yes,OUTDATED,200 OK,YES (exact),livestock guardian; guardian dog; herding dog,"... ebruary 11, 2026
Amending By-Law Date Brief Description Notes
086-22 August 15, 2022 Coming into force – CAO
delegated authority
105-22 September 28, 2022 Various amendments to
include sheep dogs and


 ---> LIVESTOCK GUARDIAN <--- 

 dogs
048-23 May 10, 2023 Amendments to running at
large definition and section
030-24 March 27, 2024 Deleting Schedule “A”
(refer to the Fees and
Charges By-Law), adding
protective care provision
009 ...",https://innisfil.ca/en/living-here/resources/Documents/2022.08.15-Animal-Control-By-Law-Consolidation.pdf,Animal Control (https://innisfil.ca/resident-services/by-law-enforcement/animal-control),"Newer bylaw detected: Section 8 and Renumber section
adding powers of entry 14 to 15
[Editor’s Note: Revoked provisions are indicated by a strikethrough. Added provisions are
indicated by"
Kenora,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,By-Law Number 150-2010,2010-08-09,No,NEW LGD PROVISIONS,200 OK,YES (exact),working dog,"... any animal or reptile which is wild by nature,
whether born in captivity or free and which is kept for any purpose other
than commercial fur production, but does not include any rodent or bird.
1.27 “

 ---> WORKING DOG <--- 

” means any dog specifically trained for and actually used
by any person whose sight is impaired or is blind, or whose hearing is
impaired or who is deaf, or who, that because of a handicap (within th ...",https://listview.kenora.ca/Files/ByLaws/2000%20to%202015/2010/150-2010%20Keeping%20of%20Animals-Animal%20Control.pdf#navpanes=0&view=FitH,Animal Services (http://www.kenora.ca/living-here/animal-services/); Dog Licences (http://www.kenora.ca/living-here/animal-services/dog-licences/),LGD keywords found in bylaw: working dog
Machar,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 15-97,1997-06-23,No,NO LGD PROVISIONS,200 OK,NO,,,http://www.machartownship.net/Dog_License___Kennel_Regs_15-97.pdf,,Has animal control bylaw but no LGD-specific provisions found
Macdonald Meredith et al,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Madoc,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Latchford,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2017-19,2021-10-28,No,NO LGD PROVISIONS,200 OK,,,,https://www.latchford.ca/wp-content/uploads/2022/11/Bylaw-Number-2017-019-Animal-Control-Bylaw..pdf,,Has animal control bylaw but no LGD-specific provisions found
Leeds and the Thousand Islands,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 22-048,2022-07-11,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://leedsthousandislands.civicweb.net/filepro/documents/94495/?preview=94884,,Has animal control bylaw but no LGD-specific provisions found
Madawaska Valley,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2010-86,2010-11-15,No,NEEDS REVIEW,HTTP 404,,,,https://madawaskavalley.civicweb.net/filepro/documents/138224/?preview=138267,,Had a bylaw link but it's now broken — may have been replaced
Lucan Biddulph,Middlesex,Lower Tier,Western,COMPLETE,"BY-LAW NO. 41-2020
Animal Control By-law",2020-11-03,No,NEEDS REVIEW,200 OK,,,,https://www.lucanbiddulph.on.ca/sites/default/files/2021-09/bylaw_41-2020_animal_control.pdf,,Link live but bylaw name not found in document — may have been replaced
Malahide,Elgin,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW No. 05-71,2005-12-15,No,NEEDS REVIEW,ERROR,,,,https://laserfiche.malahide.ca/WebLink/DocView.aspx?dbid=0&repo=Malahide&id=15496,Dog Licences (https://www.malahide.ca/landing-page/animals-pets); Animals & Pets (http://www.malahide.ca/landing-page/animals-pets),Had a bylaw link but it's now broken — may have been replaced
Kawartha Lakes,Kawartha Lakes,Single Tier,Central,COMPLETE - FARM FRIENDLY,"By-law No, 2021-04",2021-01-29,Yes,NEEDS REVIEW,200 OK,NO,livestock guardian; guardian dog; [pattern: guardian dog exemption: the owner of a licen],"... ss or classes of
animals as are prescribed in the regulations made under the Livestock
Identification Act. This definition does not include Backyard Chickens established
by permit under this by-law;
“

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” means a dog that works and/or lives with domestic
farm animals (i.e. cattle, sheep, goats) to protect them while aggressively
repelling predators and is used exclusively for that purpose;
“Manag ...",https://pub-kawarthalakes.escribemeetings.com/filestream.ashx?DocumentId=54153,,Link live but bylaw name not found in document — may have been replaced
London,Middlesex,Single Tier,Western,COMPLETE - FARM FRIENDLY,By-law PH-4,2021-10-26,No,OUTDATED,200 OK,YES (fuzzy),working dog; [pattern: exemptions 2.1 animal hospital - clinic - kennel - registere]; [pattern: guardian of the dog on a temporary basis until a permanent o],"... ound fee and board fee that is unpaid in whole or in part is a debt due the Poundkeeper and is recoverable in any court of competent jurisdiction in which a debt or money demand may be recovered. 7.5 

 ---> WORKING DOG <--- 

s for disabled persons - exempted 

 ---> WORKING DOG <--- 

s, where a certificate is produced from a recognized training establishment stating that the dog is being used as a 

 ---> WORKING DOG <--- 

 to assist a disabled person ...",https://london.ca/by-laws/dog-licensing-control-law-ph-4,Animal and pet services (http://www.london.ca/living-london/community-services/animal-pet-services); Animal care and control (http://www.london.ca/living-london/community-services/animal-pet-services/animal); Pet Licences (http://www.london.ca/living-london/community-services/animal-pet-services/pet-li),Newer bylaw detected: 10.1 By-law - previous By-law P.H.-65-124 and all of its amendments are hereby repealed. 10.2 Licence - previous - valid - until expiry A licence issued under the prov
King,York,Lower Tier,Central,COMPLETE,BY-LAW NUMBER 2016-85,2016-09-12,No,OUTDATED,200 OK,YES (exact),,,https://king.civicweb.net/document/53164/,Wildlife (http://king546.staging.upanupstudios.com/township-services/animals-pets/wildlife),"Newer bylaw detected: : 73-16, 92-52, 94-136, 2000-04, and 2002-138, 2006-64 are hereby rescinded and
repealed in their entirety; and
9.1 That Noise By-law #81-142, Section 3, Table, 3-1 Sub"
Loyalist,Lennox and Addington,Lower Tier,Eastern,COMPLETE,BY-LAW 2011-069,2011-08-29,No,OUTDATED,200 OK,YES (number_match),[pattern: exemption of property used by veterans - repealed by 2015-02],"...6-06 929.7 KB 2011-017 - Audit Agreement - KPMG - REPEALED BY 2015-095 2016-06-06 3.9 MB 2011-018 - Exemption of Property Used by Veterans - REPEALED BY 2015-025 2016-06-06 352.0 KB 2011-019 - Delegation of Powers and Duties By-law - AMENDED BY 2015-065 2016-06-06 2.5 MB 2011-020 - OPP Contract - 2011-2016 2016-06-06 4.3 MB 2011-021 - Confirmatory By-law - March 14, 2011 2016-06-06 320.0 KB 2011-022 - Seniors Tax Credit 2016-06-06 168.7 KB 2011-023 - Renewal of Term Debt - RBC 2016-06-06 175.",https://loyalist.civicweb.net/filepro/documents/29087/?preview=40167,Animal Services (http://www.loyalist.ca/living-in-loyalist/animal-services/),"Newer bylaw detected: irmatory By-law - January 24, 2011 2016-06-06 25.6 KB 2011-006 - Noise By-law - Repeals 99-35 2016-06-06 1.1 MB 2011-007 - Lakeside Phase 4, Stage 3 - Removal of Holdi"
Mattawan,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Manitouwadge,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2019-17,2019-08-14,No,NO LGD PROVISIONS,200 OK,NO,,,https://manitouwadge.civicweb.net/filepro/documents/search/?keywords=animal&location=108&preview=6976,,Has animal control bylaw but no LGD-specific provisions found
Marathon,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 1788,2013-04-08,No,NEEDS REVIEW,HTTP 404,,,,https://www.marathon.ca/en/town-hall/resources/Documents/1788-regulate-govern-animals-1.pdf,Animal Control (http://www.marathon.ca/living-here/animal-control/),Had a bylaw link but it's now broken — may have been replaced
Machin,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO LGD PROVISIONS,200 OK,N/A (no name in DB),,,https://www.visitmachin.com/Home/DownloadDocument?docId=2f312947-bb3a-4a48-9d2c-f2874c0ac485,,Has animal control bylaw but no LGD-specific provisions found
Leamington,Essex,Lower Tier,Western,NO BY-LAW IN PLACE,By-law 668-06,2017-07-10,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.leamington.ca/en/municipal-services/resources/Animal-Control-By-law-668-06-Consolidated-2023.pdf,Animal Services (http://www.leamington.ca/en/municipal-services/animalservices.aspx),Has animal control bylaw but no LGD-specific provisions found
Kincardine,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 2024 – 159,2024-11-24,Yes,NEW LGD PROVISIONS,200 OK,YES (fuzzy),livestock guardian; guardian dog,"... hospital, pet store or animal shelter.
“Licence” shall mean a Licence issued by the Municipality of Kincardine under the
provisions of this By-law recording ownership and of the keeping of animals.
“

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” shall mean a Dog used for the purpose of protecting
Livestock from predators.
“Microchip” means a device, designed to an approved Canadian standard,
implanted in an animal, containing a unique c ...","https://www.kincardine.ca/media/n1kjtiar/24-159-dog-control-by-law.pdf?id=238402&dbid=0&repo=KINCARDINE#:~:text=Read%20a%20First%2C%20Second%20and,Mayor%20Clerk",,LGD keywords found in bylaw: livestock guardian; guardian dog
Mapleton,Wellington,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NUMBER 2019-034,2019-04-09,No,NEEDS REVIEW,HTTP 404,,,,https://mapleton.ca/content/township-services/2019-034-dog-by-law-canine.pdf,Animal Services (http://www.mapleton.ca/services-and-resources/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Markstay-Warren,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,By-Law Enforcement & Animal Control (https://markstay-warren.ca/municipal-services/by-law-enforcement-animal-control/); Administrative Monetary Penalty (AMPS) (https://markstay-warren.ca/municipal-services/by-law-enforcement-animal-control/),No bylaw link in DB but animal-related links found on website
Greater Sudbury,Sudbury,Single Tier,Northern,COMPLETE,By-law 2017-22,2017-01-10,No,OUTDATED,200 OK,YES (exact),working dog,"... ermined it is necessary to
remove the Tag for medical treatment of that Dog or Cat and evidence of such
requirement is produced upon request of a Municipal By-law Enforcement
Officer; or
(e) a Police 

 ---> WORKING DOG <--- 

 while the Police 

 ---> WORKING DOG <--- 

 is working.
(3) No Person shall remove a Tag from a Dog or Cat without the consent of the Owner
thereof.
- 9- 2017-22
(4) No Person shall attach a Tag to a Dog or Cat oth ...",https://www.greatersudbury.ca/live/animal-services-and-wildlife/pdfs/animal-control-bylaw/,Adopt a Pet (http://www.city.greatersudbury.on.ca/live/animal-services-and-wildlife/animal-sh); Animal Services and Wildlife (http://www.city.greatersudbury.on.ca/live/animal-services-and-wildlife/); Adopt a Pet (https://www.greatersudbury.ca/live/animal-services-and-wildlife/animal-shelter/a),"Newer bylaw detected: he City of Greater Sudbury and every by-law amending By-law
2002-285 are hereby repealed.
(2) Where a by-law is repealed by this By-law, the repeal does not:
(a) revive"
Markham,York,Lower Tier,Central,COMPLETE,By-law 2018-91,2018-06-26,No,LINK BROKEN,HTTP 404,,,,https://www.markham.ca/wps/wcm/connect/markham/a7e41491-5ecc-4e87-8306-cd8d2cad4259/2018-91+-+Consoildated.pdf?MOD=AJPERES&amp;CONVERT_TO=url&amp;CACHEID=ROOTWORKSPACE.Z18_2QD4H901OGV160QC8BLCRJ1001-a7e41491-5ecc-4e87-8306-cd8d2cad4259-o8RQpCb,Animal Services (http://www.markham.ca/permits-licences-taxes/animal-services),HTTP HTTP 404 — link may be dead
Mattawa,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 08-21,2008-08-25,No,NEEDS REVIEW,HTTP 404,,,,https://mattawa.ca/uploads/docs/by-laws/Keeping%20of%20Dogs%20By-law%2008-21.pdf,,Had a bylaw link but it's now broken — may have been replaced
Magnetawan,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2023-45,2023-09-13,No,NO LGD PROVISIONS,200 OK,,,,https://magnetawan.com/content/government/by-laws/frequently-requested-by-laws/2023-45-regulate-dogs.pdf,,Has animal control bylaw but no LGD-specific provisions found
Marmora and Lake,Hastings,Lower Tier,Eastern,COMPLETE,BY-LAW NUMBER 2023-30,2023-06-06,No,CURRENT,200 OK,YES (number_match),,,https://drive.google.com/file/d/1R6qOFgacO39__1cB-ASBFAKXwxU9l8Tq/view,,"Link live, bylaw name confirmed in document"
McGarry,Timiskaming,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2021-13,2021-01-12,No,NEEDS REVIEW,HTTP 404,,,,https://www.mcgarry.ca/Bylaws/By-Laws-2021/By-Law-2021-13.pdf,Animal Control (http://mcgarry.ca/animal-control); Animal Control (http://www.mcgarry.ca/animal-control),Had a bylaw link but it's now broken — may have been replaced
